price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,grade,yr_built
221900,3,1.0,1180,5650,1.0,0,7,1955
538000,3,2.25,2570,7242,2.0,0,7,1951
180000,2,1.0,770,10000,1.0,0,6,1933
604000,4,3.0,1960,5000,1.0,0,7,1965
510000,3,2.0,1680,8080,1.0,0,8,1987
1225000,4,4.5,5420,101930,1.0,0,11,2001
257500,3,2.25,1715,6819,2.0,0,7,1995
291850,3,1.5,1060,9711,1.0,0,7,1963
229500,3,1.0,1780,7470,1.0,0,7,1960
323000,3,2.5,1890,6560,2.0,0,7,2003
662500,3,2.5,3560,9796,1.0,0,8,1965
468000,2,1.0,1160,6000,1.0,0,7,1942
310000,3,1.0,1430,19901,1.5,0,7,1927
400000,3,1.75,1370,9680,1.0,0,7,1977
530000,5,2.0,1810,4850,1.5,0,7,1900
650000,4,3.0,2950,5000,2.0,0,9,1979
395000,3,2.0,1890,14040,2.0,0,7,1994
485000,4,1.0,1600,4300,1.5,0,7,1916
189000,2,1.0,1200,9850,1.0,0,7,1921
230000,3,1.0,1250,9774,1.0,0,7,1969
385000,4,1.75,1620,4980,1.0,0,7,1947
2000000,3,2.75,3050,44867,1.0,0,9,1968
285000,5,2.5,2270,6300,2.0,0,8,1995
252700,2,1.5,1070,9643,1.0,0,7,1985
329000,3,2.25,2450,6500,2.0,0,8,1985
233000,3,2.0,1710,4697,1.5,0,6,1941
937000,3,1.75,2450,2691,2.0,0,8,1915
667000,3,1.0,1400,1581,1.5,0,8,1909
438000,3,1.75,1520,6380,1.0,0,7,1948
719000,4,2.5,2570,7173,2.0,0,8,2005
580500,3,2.5,2320,3980,2.0,0,8,2003
280000,2,1.5,1190,1265,3.0,0,7,2005
687500,4,1.75,2330,5000,1.5,0,7,1929
535000,3,1.0,1090,3000,1.5,0,8,1929
322500,4,2.75,2060,6659,1.0,0,7,1981
696000,3,2.5,2300,3060,1.5,0,8,1930
550000,4,1.0,1660,34848,1.0,0,5,1933
640000,4,2.0,2360,6000,2.0,0,8,1904
240000,4,1.0,1220,8075,1.0,0,7,1969
605000,4,2.5,2620,7553,2.0,0,8,1996
625000,4,2.5,2570,5520,2.0,0,9,2000
775000,4,2.25,4220,24186,1.0,0,8,1984
861990,5,2.75,3595,5639,2.0,0,9,2014
685000,3,1.0,1570,2280,2.0,0,7,1922
309000,3,1.0,1280,9656,1.0,0,6,1959
488000,3,2.5,3160,13603,2.0,0,8,2003
210490,3,1.0,990,8528,1.0,0,6,1966
785000,4,2.5,2290,13416,2.0,0,9,1981
450000,3,1.75,1250,5963,1.0,0,7,1953
